controlled_bos_size,deadline_factor,variant,sharing,candidate_count,n,workflow_deadline_success_mean,workflow_deadline_success_ci95_low,workflow_deadline_success_ci95_high,workflow_deadline_success_median,global_deadline_success_mean,global_deadline_success_ci95_low,global_deadline_success_ci95_high,global_deadline_success_median,first_round_accepted_sfc_ratio_mean,first_round_accepted_sfc_ratio_ci95_low,first_round_accepted_sfc_ratio_ci95_high,first_round_accepted_sfc_ratio_median,provisioning_cost_mean,provisioning_cost_ci95_low,provisioning_cost_ci95_high,provisioning_cost_median,makespan_s_mean,makespan_s_ci95_low,makespan_s_ci95_high,makespan_s_median,network_data_mb_mean,network_data_mb_ci95_low,network_data_mb_ci95_high,network_data_mb_median,scheduler_runtime_s_mean,scheduler_runtime_s_ci95_low,scheduler_runtime_s_ci95_high,scheduler_runtime_s_median,first_round_scheduler_runtime_s_mean,first_round_scheduler_runtime_s_ci95_low,first_round_scheduler_runtime_s_ci95_high,first_round_scheduler_runtime_s_median,milp_runtime_s_mean,milp_runtime_s_ci95_low,milp_runtime_s_ci95_high,milp_runtime_s_median,milp_invocations_mean,milp_invocations_max,milp_max_variables_mean,milp_max_variables_max,milp_max_constraints_mean,milp_max_constraints_max,milp_max_single_solve_s_mean,milp_max_single_solve_s_max,milp_limit_reached_count_mean,milp_limit_reached_count_max,jointly_scheduled_sfc_ratio_mean,jointly_scheduled_sfc_ratio_max
6,5.0,pbqs,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666668,0.874118496493407,1.0592148368399266,1.0,0.015,0.015,0.015,0.015,15.692357821275362,13.269742802449219,18.114972840101505,14.462314506866376,36.357074679378314,31.473602734143746,41.24054662461288,34.47667707288825,0.0017898956000862401,0.0013657110913066007,0.0022140801088658796,0.0016512689981027,0.0017131492000771,0.0015014455421744862,0.0019248528579797139,0.0016512689981027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.0,hds_full,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.6063872827086345,0.7650412887199369,0.7142857142857143,0.035,0.035,0.035,0.035,9.616421084219866,7.524060985275159,11.708781183164572,10.134239085349572,44.29277157239214,38.593013367167515,49.99252977761677,44.04863429696533,0.01685337719973172,0.010953864031202337,0.022752890368261103,0.0158067699994717,0.015986790999886518,0.010658492811045936,0.0213150891887271,0.0156653890007874,0.016285485799016834,0.01047215387464161,0.022098817723392058,0.0152597939995757,1.2,2.0,78.0,78.0,344.0,344.0,0.01559564639901504,0.0218551760008267,0.0,0.0,0.7142857142857143,0.7142857142857143
7,5.0,hds_full,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,0.8171303741916777,1.0114410543797507,0.8571428571428571,0.023000000000000003,0.019599563096708725,0.02640043690329128,0.025,10.967855788032178,10.285136454495483,11.650575121568874,11.117751528816914,44.29277157239214,38.593013367167515,49.99252977761677,44.04863429696533,3.912723593600094,-0.42485609177824113,8.250303278978429,4.365195215999847,3.912628938600392,-0.4249585444172377,8.25021642161802,4.365042999001162,3.9121350609995718,-0.42547308760468816,8.249743209603832,4.364596252999036,1.0,1.0,183.0,183.0,549.0,549.0,3.9121350609995718,7.393290402000275,0.0,0.0,0.9142857142857143,1.0
7,5.0,pbqs,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.45159276661663317,0.7484072333833668,0.5714285714285714,0.027000000000000003,0.016611493663164327,0.03738850633683568,0.025,12.485758572633022,11.025207823912488,13.946309321353556,12.346521668225376,44.29277157239214,38.593013367167515,49.99252977761677,44.04863429696533,0.00235323839951884,0.0018145721825154,0.00289190461652228,0.0022763209999538,0.0016357055996195,0.0014570942569891402,0.0018143169422498598,0.001586321999639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.0,pbqs,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8857142857142856,0.8063872827086344,0.9650412887199368,0.8571428571428571,0.015,0.015,0.015,0.015,17.09551358835183,15.121488113128988,19.069539063574677,17.24087279790402,44.29277157239214,38.593013367167515,49.99252977761677,44.04863429696533,0.00223446499876442,0.0018232094136725106,0.002645720583856329,0.0021544789997278,0.00196438699931602,0.0016675860362001613,0.0022611879624318786,0.0018939709989354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5.0,hds_full,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.5305888723700551,0.6694111276299448,0.625,0.035,0.035,0.035,0.035,9.48851117092712,7.0194070832122755,11.957615258641965,10.134239085349572,50.710299345059944,45.17371281704136,56.246885873078526,52.19782501055718,0.01603310259888524,0.012584330655369473,0.01948187454240101,0.0147941019931749,0.01521234379979428,0.01247529251163105,0.017949395087957513,0.0145517499986453,0.0153375662004691,0.011873697887292329,0.01880143451364587,0.0140393270012282,2.0,2.0,87.0,87.0,384.0,384.0,0.014811452800495261,0.0181232780014397,0.0,0.0,0.625,0.625
8,5.0,hds_full,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825,0.739989077417718,0.9100109225822819,0.875,0.028999999999999998,0.02219912619341744,0.035800873806582555,0.025,9.720508383170344,8.300901844336273,11.140114922004415,9.674928604967288,50.710299345059944,45.17371281704136,56.246885873078526,52.19782501055718,8.917200903400225,0.9613739191726021,16.87302788762785,9.227198133001366,8.915143319399068,0.9582721506839587,16.872014488114175,9.22297185899879,8.916441629199834,0.960565697946695,16.872317560452974,9.22643658999732,1.4,2.0,227.0,227.0,659.0,659.0,8.914586729000439,15.0571927710007,0.4,1.0,0.875,0.875
8,5.0,pbqs,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.4649890774177181,0.635010922582282,0.5,0.029000000000000005,0.02219912619341745,0.03580087380658256,0.025,13.766226347139227,11.540960405162913,15.991492289115541,13.607659966859924,50.710299345059944,45.17371281704136,56.246885873078526,52.19782501055718,0.00297310959795134,0.0020195414816052645,0.003926677714297416,0.0028185160008433,0.00188317839929362,0.0014908364242385615,0.0022755203743486784,0.0017986579987336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5.0,pbqs,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7149890774177181,0.885010922582282,0.75,0.015,0.015,0.015,0.015,17.822652626668862,16.618909852049782,19.026395401287942,17.890696594458507,50.710299345059944,45.17371281704136,56.246885873078526,52.19782501055718,0.00285646779884696,0.0016134673126604142,0.004099468285033506,0.0024592820009274,0.0021610281990433002,0.0017359214488964906,0.0025861349491901097,0.0020063579977431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5.0,hds_full,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5333333333333334,0.4716345532178269,0.59503211344884,0.5555555555555556,0.035,0.035,0.035,0.035,9.581914741342205,6.6473688648925275,12.516460617791882,8.900550898436515,58.07864365388343,51.10844780367497,65.0488395040919,58.38360897957621,0.0170949718012707,0.014511849265801383,0.019678094336740018,0.0164662009956373,0.01597885720038898,0.012156701837956939,0.01980101256282102,0.016126766000525,0.01631387599918524,0.013808188312311656,0.018819563686058822,0.0157344910003303,3.0,3.0,96.0,96.0,424.0,424.0,0.015598738999688038,0.0198416769999312,0.0,0.0,0.5555555555555556,0.5555555555555556
9,5.0,hds_full,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7555555555555555,0.693856775440049,0.8172543356710621,0.7777777777777778,0.035,0.035,0.035,0.035,9.496778820745126,8.060972550337496,10.932585091152756,9.674928604967288,58.07864365388343,51.10844780367497,65.0488395040919,58.38360897957621,7.033076432599046,0.2565923003485757,13.809560564849516,5.898633422995772,7.027819273599744,0.2510739030065716,13.804564644192915,5.893688458996621,7.032157165799435,0.2556800247135236,13.808634306885347,5.897569407996343,2.0,2.0,276.0,276.0,779.0,779.0,7.027217619998555,15.05515380399811,0.2,1.0,0.888888888888889,0.8888888888888888
9,5.0,pbqs,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48888888888888893,0.41332362437130493,0.5644541534064729,0.4444444444444444,0.029000000000000005,0.02219912619341745,0.03580087380658256,0.025,14.086716021847627,12.278562731945332,15.894869311749922,14.035154044968207,58.07864365388343,51.10844780367497,65.0488395040919,58.38360897957621,0.00317746940054342,0.002765600225337217,0.003589338575749623,0.0031924739996611,0.0019412188004934799,0.0017409171208855074,0.002141520480101452,0.001854240999819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5.0,pbqs,Sharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.711111111111111,0.6355458465935271,0.786676375628695,0.6666666666666666,0.015,0.015,0.015,0.015,18.270816689412253,17.423036794103375,19.118596584721132,18.11181600306353,58.07864365388343,51.10844780367497,65.0488395040919,58.38360897957621,0.0033562700002221003,0.0028013646271865924,0.003911175373257608,0.0032361590056098,0.0025533624000672397,0.0021387339720929893,0.00296799082804149,0.0023622780026926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,5.0,hds_full,NonSharable,20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,0.4244710978960441,0.5355289021039559,0.5,0.035,0.035,0.035,0.035,10.294767400529727,8.634651130099039,11.954883670960415,10.44530423112906,65.44435192954248,57.64956477568139,73.23913908340357,65.20617230698258,0.02233994419948424,0.012656401350747205,0.03202348704822127,0.018828199001291,0.021085379798751042,0.011099319233666626,0.03107144036383546,0.0177356610001879,0.02145829919973036,0.011752751815036929,0.031163846584423793,0.0180046220011718,4.0,4.0,105.0,105.0,464.0,464.0,0.02071367219978126,0.0350318679993506,0.0,0.0,0.5,0.5
