topology,node_count,family,workflow_size,deadline_factor,candidate_count,sharing,paired_sample_size,provisioning_cost_improvement_pct_mean,provisioning_cost_improvement_pct_ci95_low,provisioning_cost_improvement_pct_ci95_high,end_to_end_delay_s_improvement_pct_mean,end_to_end_delay_s_improvement_pct_ci95_low,end_to_end_delay_s_improvement_pct_ci95_high,network_data_mb_improvement_pct_mean,network_data_mb_improvement_pct_ci95_low,network_data_mb_improvement_pct_ci95_high,resource_utilization_improvement_pct_mean,resource_utilization_improvement_pct_ci95_low,resource_utilization_improvement_pct_ci95_high,cpu_utilization_improvement_pct_mean,cpu_utilization_improvement_pct_ci95_low,cpu_utilization_improvement_pct_ci95_high,ram_utilization_improvement_pct_mean,ram_utilization_improvement_pct_ci95_low,ram_utilization_improvement_pct_ci95_high,max_link_bandwidth_utilization_improvement_pct_mean,max_link_bandwidth_utilization_improvement_pct_ci95_low,max_link_bandwidth_utilization_improvement_pct_ci95_high,workflow_deadline_success_improvement_pct_mean,workflow_deadline_success_improvement_pct_ci95_low,workflow_deadline_success_improvement_pct_ci95_high,workflow_completed_improvement_pct_mean,workflow_completed_improvement_pct_ci95_low,workflow_completed_improvement_pct_ci95_high,global_deadline_success_improvement_pct_mean,global_deadline_success_improvement_pct_ci95_low,global_deadline_success_improvement_pct_ci95_high,sfc_subdeadline_success_improvement_pct_mean,sfc_subdeadline_success_improvement_pct_ci95_low,sfc_subdeadline_success_improvement_pct_ci95_high
large_plus,30,epigenomics,700,3.0,30,Sharable,5,-4.774329995383719,-8.907616036749921,-0.6410439540175172,11.500444609645173,10.705301750308266,12.295587468982081,1.4818507449620757,-6.9078549404783125,9.871556430402464,-10.49831171829141,-14.003341443464613,-6.993281993118202,-12.20947367770648,-15.414729780849392,-9.004217574563569,-9.5774805721835,-13.262166899907802,-5.892794244459198,-62.69108679739914,-75.2748683662563,-50.107305228541954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_plus,30,inspiral,700,3.0,30,NonSharable,5,27.72225827172749,22.244397411585865,33.200119131869116,14.686361928052975,11.687718969046266,17.685004887059677,18.279220048201218,16.021834296480275,20.53660579992216,21.478026664068352,16.38298814487339,26.57306518326332,16.723254293605464,12.061829265095428,21.384679322115502,24.19555641534168,18.662469056658768,29.728643774024594,-43.496931969293215,-56.513006237982765,-30.480857700603664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_plus,30,inspiral,700,3.0,30,Sharable,5,0.8607241588382604,-3.777676938882741,5.499125256559261,24.632157550861535,21.535491986462347,27.728823115260724,1.7830535805786145,-1.9077229685032628,5.473830129660491,-10.90973363148441,-14.821144022385772,-6.998323240583046,-14.183847910857548,-18.248396261564906,-10.119299560150191,-9.041996776557728,-12.93448451315965,-5.149509039955805,-95.4853332610905,-147.41312347817473,-43.55754304400631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_plus,30,montage,700,3.0,30,NonSharable,5,20.03938250768536,18.417587128798356,21.661177886572364,10.931214427871476,9.171257299188902,12.691171556554053,4.349968593775342,3.188481117049835,5.5114560705008495,11.148208820673265,8.336879524756945,13.959538116589584,7.476042561647804,5.452148968352443,9.499936154943164,13.240091018473246,9.778540215197054,16.701641821749437,-26.174189582622496,-56.75106275913954,4.4026835938945545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_plus,30,montage,700,3.0,30,Sharable,5,-47.325605968723,-52.87384924861685,-41.77736268882916,35.16798098398429,32.341549605275745,37.99441236269284,-42.73564860494179,-48.18521976519298,-37.28607744469059,-35.18299577697172,-36.19511375297954,-34.17087780096391,-36.94766802130656,-37.80045142831204,-36.09488461430109,-34.17524146798992,-35.384617042860484,-32.96586589311936,-118.56361762232015,-180.03957390774335,-57.087661336896964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,12,cybershake,300,3.0,12,NonSharable,5,15.973754094970673,8.657469237346223,23.290038952595122,8.883430864189481,6.8992422013293275,10.867619527049635,5.4449376722600284,3.9876372524331565,6.9022380920869,8.865380555668613,4.2459011159070625,13.484859995430163,6.24685111895341,2.0756479748163583,10.418054263090461,10.372040548003064,5.473329981538403,15.270751114467725,-40.78959498966649,-79.11008225529608,-2.4691077240369026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,12,cybershake,300,3.0,12,Sharable,5,-43.52887571365832,-61.868331470385755,-25.18941995693089,30.808638954821173,28.13033508736263,33.486942822279715,-38.078154797898165,-43.78511533418439,-32.37119426161194,-34.12867393171219,-36.83940369401587,-31.417944169408514,-35.62137605995039,-38.3039234614914,-32.938828658409385,-33.268408007567416,-36.05255755195642,-30.484258463178413,-153.48225258823723,-220.40702516236792,-86.55748001410656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,12,epigenomics,300,3.0,12,NonSharable,5,12.897520542082043,8.466140419260782,17.328900664903305,6.912737925610901,5.45976586081875,8.365709990403051,14.167410319042437,7.168283737942375,21.1665369001425,15.039358898556586,5.493053009494879,24.585664787618285,12.948788307055967,3.481354939272663,22.41622167483927,16.177318535020643,6.530547183405837,25.82408988663545,-41.57311154570175,-55.19210813179255,-27.954114959610948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,12,epigenomics,300,3.0,12,Sharable,5,-10.525138059596896,-15.539031896903072,-5.51124422229072,12.683563923708688,11.781954603337407,13.585173244079968,-1.7521961049901544,-9.597768898568253,6.093376688587945,-12.241660617157068,-16.467093241338233,-8.016227992975905,-13.863722339639926,-18.00109331801049,-9.726351361269364,-11.359401860752183,-15.68955880785569,-7.029244913648676,-63.13034139006142,-89.56587665798533,-36.69480612213751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,12,inspiral,300,3.0,12,NonSharable,5,25.733686603251822,13.910829196870337,37.556544009633306,14.838664234994843,10.64575720379851,19.031571266191175,19.90050696597289,13.548241121267662,26.25277281067812,20.35802729769058,17.043586516503154,23.672468078878005,15.811742812206727,12.677811435397121,18.945674189016334,23.02318324951646,19.025541454328234,27.020825044704686,-27.250944688841237,-44.359762769451336,-10.142126608231134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
