controlled_bos_size,deadline_factor,sharing,candidate_count,comparison,metric,paired_seeds,hds_mean,comparator_mean,mean_paired_difference,median_paired_difference,paired_ci95_low,paired_ci95_high,cohen_dz,paired_t_p_value,hds_improvement_pct,conditional_on_both_globally_successful
5,5.0,Sharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
5,5.0,Sharable,20,hds_full-pbqs,provisioning_cost,5,0.019,0.015,0.004000000000000001,0.005000000000000001,0.0012235548948022067,0.006776445105197796,1.7888543819998317,0.016130089900092546,-26.666666666666668,1
5,5.0,Sharable,20,hds_full-pbqs,makespan_s,5,7.958206095203074,13.865053430140822,-5.906847334937744,-5.9452994347843955,-7.564963109009542,-4.248731560865946,-4.423285631417233,0.0005864082907677494,42.60241307182437,1
5,5.0,Sharable,20,hds_full-pbqs,network_data_mb,5,30.95857355692069,30.95857355692069,0.0,0.0,0.0,0.0,,1.0,0.0,1
5,5.0,Sharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.5533879262002301,0.0014775702002225,0.5519103560000076,0.5185739160006052,0.2140493808217715,0.8897713311782437,2.0283112570770094,0.010533589239592566,-37352.5640891308,0
5,5.0,Sharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.5533879262002301,0.0014775702002225,0.5519103560000076,0.5185739160006052,0.2140493808217715,0.8897713311782437,2.0283112570770094,0.010533589239592566,-37352.5640891308,0
5,5.0,Sharable,20,hds_full-pbqs,milp_runtime_s,5,0.5529135677999875,0.0,0.5529135677999875,0.5195730939994974,0.21504206376209045,0.8907850718378845,2.0319348126459227,0.010468847290125817,,0
6,5.0,NonSharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
6,5.0,NonSharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
6,5.0,NonSharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,0.8,0.7333333333333334,0.0666666666666667,0.0,-0.0466812301097093,0.18001456344304267,0.7302967433402215,0.17780780835622137,9.090909090909088,0
6,5.0,NonSharable,20,hds_full-pbqs,provisioning_cost,5,0.035,0.029000000000000005,0.006000000000000001,0.010000000000000002,-0.0008008738065825565,0.012800873806582558,1.0954451150103321,0.07048399691021992,-20.689655172413786,1
6,5.0,NonSharable,20,hds_full-pbqs,makespan_s,5,8.69934551879243,10.407887162402078,-1.708541643609648,-1.6130845966550815,-4.061288663937059,0.6442053767177636,-0.9016841292213237,0.11398677850860271,16.41583557690422,1
6,5.0,NonSharable,20,hds_full-pbqs,network_data_mb,5,36.357074679378314,36.357074679378314,0.0,0.0,0.0,0.0,,1.0,0.0,1
6,5.0,NonSharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.01414864580219724,0.00195972640140094,0.0121889194007963,0.0118038579967105,0.009274974496002356,0.015102864305590245,5.193832722120867,0.0003141180191733603,-621.9704644527352,0
6,5.0,NonSharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.014052602601441278,0.0014372804005688,0.01261532220087248,0.0120127990012407,0.00978638187381654,0.01544426252792842,5.53705260332071,0.00024459170130634216,-877.7217163665488,0
6,5.0,NonSharable,20,hds_full-pbqs,milp_runtime_s,5,0.013663006800197719,0.0,0.013663006800197719,0.0131625319991144,0.010847471445147545,0.016478542155247893,6.025448631141907,0.00017557808308509769,,0
6,5.0,Sharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
6,5.0,Sharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
6,5.0,Sharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,1.0,0.9666666666666668,0.033333333333333326,0.0,-0.05921483683992644,0.1258815035065931,0.4472135954999579,0.37390096630005876,3.448275862068953,0
6,5.0,Sharable,20,hds_full-pbqs,provisioning_cost,5,0.019000000000000003,0.015,0.004000000000000001,0.005000000000000001,0.0012235548948022067,0.006776445105197796,1.7888543819998317,0.016130089900092546,-26.666666666666693,1
6,5.0,Sharable,20,hds_full-pbqs,makespan_s,5,8.92941347444389,15.692357821275362,-6.762944346831475,-6.582461891118893,-9.853557898946235,-3.6723307947167143,-2.7170347815146396,0.0037084894691030166,43.09705669381574,1
6,5.0,Sharable,20,hds_full-pbqs,network_data_mb,5,36.357074679378314,36.357074679378314,0.0,0.0,0.0,0.0,,1.0,0.0,1
6,5.0,Sharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.9302083432005019,0.0017898956000862401,0.9284184476004157,1.0696469579997938,0.290889498649438,1.5659473965513935,1.808206142717931,0.015561892370902749,-51869.97764314762,0
6,5.0,Sharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.9302083432005019,0.0017131492000771,0.9284951940004248,1.0696469579997938,0.29109696524941553,1.565893422751434,1.808726480389865,0.015546949856282398,-54198.15121523788,0
6,5.0,Sharable,20,hds_full-pbqs,milp_runtime_s,5,0.9297186135991069,0.0,0.9297186135991069,1.070797890999529,0.2924549601318438,1.56698226706637,1.8114921895906153,0.015467816236187653,,0
7,5.0,NonSharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
7,5.0,NonSharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
7,5.0,NonSharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,0.6857142857142857,0.6,0.08571428571428574,0.1428571428571429,-0.01144105437975082,0.1828696258083223,1.0954451150103321,0.07048399691021992,14.285714285714292,0
7,5.0,NonSharable,20,hds_full-pbqs,provisioning_cost,5,0.035,0.027000000000000003,0.008000000000000002,0.010000000000000002,-0.0023885063368356777,0.018388506336835683,0.9561828874675148,0.09930068321372679,-29.629629629629626,1
7,5.0,NonSharable,20,hds_full-pbqs,makespan_s,5,9.616421084219866,12.485758572633022,-2.8693374884131573,-2.727075526893687,-4.066741229790606,-1.6719337470357087,-2.975398301295242,0.0026503165202593345,22.9808823526536,1
7,5.0,NonSharable,20,hds_full-pbqs,network_data_mb,5,44.29277157239214,44.29277157239214,0.0,0.0,0.0,0.0,,1.0,0.0,1
7,5.0,NonSharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.01685337719973172,0.00235323839951884,0.014500138800212881,0.013830026004143302,0.008849171041802608,0.020151106558623157,3.1860561034676325,0.0020521164809961375,-616.1780635220674,0
7,5.0,NonSharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.015986790999886518,0.0016357055996195,0.014351085400267022,0.0141357410029742,0.009091188124933307,0.019610982675600738,3.3877517266777173,0.0016282555917593053,-877.3635918104937,0
7,5.0,NonSharable,20,hds_full-pbqs,milp_runtime_s,5,0.016285485799016834,0.0,0.016285485799016834,0.0152597939995757,0.01047215387464161,0.022098817723392058,3.4784013149345654,0.0014732866494053696,,0
7,5.0,Sharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
7,5.0,Sharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
7,5.0,Sharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,0.9142857142857143,0.8857142857142856,0.02857142857142858,0.0,-0.05075557443422268,0.10789843157707985,0.44721359549995787,0.37390096630005887,3.2258064516129172,0
7,5.0,Sharable,20,hds_full-pbqs,provisioning_cost,5,0.023000000000000003,0.015,0.008000000000000002,0.010000000000000002,0.004599563096708724,0.01140043690329128,2.921186973360886,0.0028378459267344473,-53.33333333333336,1
7,5.0,Sharable,20,hds_full-pbqs,makespan_s,5,10.967855788032178,17.09551358835183,-6.127657800319656,-6.1231212690871075,-7.5958506120499045,-4.6594649885894075,-5.18221586645889,0.0003168757496724049,35.843660201555934,1
7,5.0,Sharable,20,hds_full-pbqs,network_data_mb,5,44.29277157239214,44.29277157239214,0.0,0.0,0.0,0.0,,1.0,0.0,1
7,5.0,Sharable,20,hds_full-pbqs,scheduler_runtime_s,5,3.912723593600094,0.00223446499876442,3.9104891286013297,4.36310272099945,-0.4270247026244629,8.248002959827122,1.1194231892464768,0.06654532233967587,-175007.8488928532,0
7,5.0,Sharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,3.912628938600392,0.00196438699931602,3.9106645516010756,4.363220194998576,-0.42676560720278456,8.248094710404935,1.1194950016471952,0.06653390937340763,-199078.1120503613,0
7,5.0,Sharable,20,hds_full-pbqs,milp_runtime_s,5,3.9121350609995718,0.0,3.9121350609995718,4.364596252999036,-0.42547308760468816,8.249743209603832,1.119870005527563,0.06647434722274732,,0
8,5.0,NonSharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
8,5.0,NonSharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
8,5.0,NonSharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,0.6,0.55,0.05,0.0,-0.03501092258228196,0.13501092258228198,0.7302967433402214,0.17780780835622137,9.090909090909078,0
8,5.0,NonSharable,20,hds_full-pbqs,provisioning_cost,5,0.035,0.029000000000000005,0.006000000000000001,0.010000000000000002,-0.0008008738065825565,0.012800873806582558,1.0954451150103321,0.07048399691021992,-20.689655172413786,1
8,5.0,NonSharable,20,hds_full-pbqs,makespan_s,5,9.48851117092712,13.766226347139227,-4.277715176212103,-4.532006595762503,-6.65759827452061,-1.8978320779035966,-2.2318259802960734,0.007540905737702282,31.073985479695843,1
8,5.0,NonSharable,20,hds_full-pbqs,network_data_mb,5,50.710299345059944,50.710299345059944,0.0,0.0,0.0,0.0,,1.0,0.0,1
8,5.0,NonSharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.01603310259888524,0.00297310959795134,0.013059993000933898,0.0119306260057783,0.00925671810323052,0.016863267898637273,4.263726278593464,0.0006758562547969321,-439.2704866962543,0
8,5.0,NonSharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.01521234379979428,0.00188317839929362,0.01332916540050066,0.0123130060019321,0.010514550825593811,0.01614377997540751,5.8801460603012305,0.00019323879377813365,-707.8015235041156,0
8,5.0,NonSharable,20,hds_full-pbqs,milp_runtime_s,5,0.0153375662004691,0.0,0.0153375662004691,0.0140393270012282,0.011873697887292329,0.01880143451364587,5.497929496552861,0.0002514759842648846,,0
8,5.0,Sharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
8,5.0,Sharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
8,5.0,Sharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,0.825,0.8,0.025,0.0,-0.04441112762994485,0.09441112762994486,0.44721359549995787,0.37390096630005887,3.124999999999989,0
