family,workflow_size,deadline_factor,sharing,candidate_count,eta,alpha,beta,gamma,omega_u,omega_w,deadline_mode,reconstruct_earliest_start,topology,node_count,paired_sample_size,provisioning_cost_improvement_pct_mean,provisioning_cost_improvement_pct_ci95_low,provisioning_cost_improvement_pct_ci95_high,end_to_end_delay_s_improvement_pct_mean,end_to_end_delay_s_improvement_pct_ci95_low,end_to_end_delay_s_improvement_pct_ci95_high,network_data_mb_improvement_pct_mean,network_data_mb_improvement_pct_ci95_low,network_data_mb_improvement_pct_ci95_high,resource_utilization_improvement_pct_mean,resource_utilization_improvement_pct_ci95_low,resource_utilization_improvement_pct_ci95_high,cpu_utilization_improvement_pct_mean,cpu_utilization_improvement_pct_ci95_low,cpu_utilization_improvement_pct_ci95_high,ram_utilization_improvement_pct_mean,ram_utilization_improvement_pct_ci95_low,ram_utilization_improvement_pct_ci95_high,max_link_bandwidth_utilization_improvement_pct_mean,max_link_bandwidth_utilization_improvement_pct_ci95_low,max_link_bandwidth_utilization_improvement_pct_ci95_high,workflow_deadline_success_improvement_pct_mean,workflow_deadline_success_improvement_pct_ci95_low,workflow_deadline_success_improvement_pct_ci95_high,workflow_completed_improvement_pct_mean,workflow_completed_improvement_pct_ci95_low,workflow_completed_improvement_pct_ci95_high,global_deadline_success_improvement_pct_mean,global_deadline_success_improvement_pct_ci95_low,global_deadline_success_improvement_pct_ci95_high,sfc_subdeadline_success_improvement_pct_mean,sfc_subdeadline_success_improvement_pct_ci95_low,sfc_subdeadline_success_improvement_pct_ci95_high
cybershake,100,1.7,Sharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,-16.630662365956482,-27.252727363847512,-6.008597368065452,19.96059240128933,15.983837771485817,23.93734703109284,-36.031253967999845,-41.059730314191015,-31.002777621808672,-17.04703856858936,-22.806167065437833,-11.287910071740889,-18.619494200559515,-25.0299258299474,-12.209062571171632,-16.187677163373124,-21.60259097057281,-10.772763356173439,-111.64670370356276,-147.17285829571085,-76.12054911141466,82.0,70.97066293616535,93.02933706383465,82.0,70.97066293616535,93.02933706383465,82.0,70.97066293616535,93.02933706383465,82.0,70.97066293616535,93.02933706383465
cybershake,100,1.8,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,11.678923059312076,8.592566973690257,14.765279144933896,3.5735219914057796,2.7658174366476462,4.381226546163913,2.745614712781167,1.4178803606977959,4.073349064864539,8.842542916540138,6.297554304000216,11.387531529080064,7.526344929206082,5.105133446855232,9.94755641155693,9.567872955938071,6.944301345190487,12.191444566685655,-29.557048210241597,-36.17475965157654,-22.939336768906657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cybershake,100,1.8,Sharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,-16.914225410314703,-25.583745866290336,-8.244704954339072,22.676868106306628,21.64749062535946,23.706245587253797,-32.91770450085586,-36.591508232186314,-29.24390076952541,-22.240792006681996,-24.933188948172376,-19.548395065191617,-23.889026175920286,-26.49132832314878,-21.28672402869179,-21.336836828793018,-24.08796865823247,-18.585704999353567,-132.82149380275018,-156.09878710108734,-109.54420050441303,62.0,48.065420310552014,75.93457968944799,62.0,48.065420310552014,75.93457968944799,62.0,48.065420310552014,75.93457968944799,62.0,48.065420310552014,75.93457968944799
cybershake,100,1.9,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,11.678923059312076,8.592566973690257,14.765279144933896,3.5735219914057796,2.7658174366476462,4.381226546163913,2.745614712781167,1.4178803606977959,4.073349064864539,8.842542916540138,6.297554304000214,11.38753152908006,7.526344929206081,5.1051334468552305,9.947556411556928,9.567872955938071,6.944301345190487,12.191444566685655,-29.557048210241597,-36.17475965157654,-22.939336768906657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cybershake,100,1.9,Sharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,-17.641197640791013,-22.791313273888647,-12.491082007693379,23.399039308565165,22.554831157717583,24.24324745941274,-31.68456276084387,-35.04540898868949,-28.323716532998237,-21.91303999552598,-23.963149630772765,-19.86293036027919,-23.47942026253669,-25.541564088978518,-21.417276436094866,-21.052405064419563,-23.115303270357067,-18.989506858482073,-144.229045593061,-162.89043638525715,-125.56765480086489,28.0,15.110042233801236,40.88995776619876,28.0,15.110042233801236,40.88995776619876,28.0,15.110042233801236,40.88995776619876,28.0,15.110042233801236,40.88995776619876
cybershake,100,2.0,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,11.678923059312076,8.592566973690257,14.765279144933896,3.5735219914057796,2.7658174366476462,4.381226546163913,2.745614712781167,1.4178803606977959,4.073349064864539,8.842542916540138,6.297554304000214,11.38753152908006,7.526344929206081,5.1051334468552305,9.947556411556928,9.567872955938071,6.944301345190487,12.191444566685655,-29.557048210241597,-36.17475965157654,-22.939336768906657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cybershake,100,2.0,Sharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,-19.111293660056837,-24.584107823039894,-13.638479497073774,24.480890962674483,23.585698056955536,25.37608386839343,-30.704838176823202,-34.075531976153385,-27.334144377493004,-22.802357550018154,-24.66316336333021,-20.9415517367061,-24.336369412896712,-26.190826224867195,-22.48191260092623,-21.960337274363823,-23.838129111200473,-20.08254543752718,-141.74454382547458,-159.80337660635257,-123.68571104459657,14.0,4.038620771101721,23.96137922889828,14.0,4.038620771101721,23.96137922889828,14.0,4.038620771101721,23.96137922889828,14.0,4.038620771101721,23.96137922889828
cybershake,100,2.25,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,11.678923059312076,8.592566973690257,14.765279144933896,3.5735219914057796,2.7658174366476462,4.381226546163913,2.745614712781167,1.4178803606977959,4.073349064864539,8.842542916540138,6.297554304000214,11.38753152908006,7.526344929206081,5.1051334468552305,9.947556411556928,9.567872955938071,6.944301345190487,12.191444566685655,-29.58845405330669,-36.20252287473061,-22.974385231882778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cybershake,100,2.25,Sharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,-21.13055477284714,-26.08438735036001,-16.17672219533427,25.35031641108022,24.29562422000837,26.405008602152073,-29.724642654915684,-32.80532990850713,-26.643955401324238,-23.755279381005362,-25.38576207459055,-22.124796687420176,-25.252407818297087,-26.854379499673584,-23.65043613692059,-22.929398002578314,-24.586726302036837,-21.27206970311979,-146.2127215741055,-162.6317880162128,-129.7936551319982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cybershake,100,2.5,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,11.678923059312076,8.592566973690257,14.765279144933896,3.5735219914057796,2.7658174366476462,4.381226546163913,2.745614712781167,1.4178803606977959,4.073349064864539,8.842542916540138,6.297554304000214,11.38753152908006,7.526344929206079,5.105133446855229,9.947556411556928,9.567872955938071,6.944301345190487,12.191444566685655,-30.051073520519257,-36.538706644362904,-23.563440396675627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
